#timestamp [ns], temperature [degC], w_RS_S_x [rad s^-1], w_RS_S_y [rad s^-1], w_RS_S_z [rad s^-1], a_RS_S_x [m s^-2], a_RS_S_y [m s^-2], a_RS_S_z [m s^-2]
1891010506689875, 0, 0.8209956, -1.0252084, 1.0926124, -1.6003221, 5.3383488, -1.0587483
1891010516652875, 0, 0.6425982, -0.9543052, 1.2029054, -2.3366409, 5.0049921, -1.6838484
1891010526614875, 0, 0.6552162, -1.1752173, 1.2564738, -2.6387128, 5.2519785, -2.1537213
1891010536576875, 0, 0.7789347, -1.5619978, 1.1286447, -1.7369879, 5.7693027, -1.6856447
1891010546538875, 0, 0.9030486, -1.8191947, 0.8518541, -0.5969586, 5.8836649, -1.8214124
1891010556500875, 0, 0.9892016, -1.8381710, 0.6168725, -0.9758208, 5.5690192, -2.0757335
1891010566463875, 0, 0.9837714, -1.7258501, 0.5538203, -2.4321423, 4.8663803, -2.2453308
1891010576425875, 0, 0.8291635, -1.5991046, 0.6697083, -4.1567061, 3.9094203, -3.1735506
1891010586387875, 0, 0.6633306, -1.3460122, 0.8847503, -4.8910789, 3.6308496, -3.6464172
1891010596349875, 0, 0.5383716, -0.9453617, 0.9982913, -4.2520578, 4.1179367, -3.5381923
1891010606311875, 0, 0.4447010, -0.6268341, 1.0611559, -3.5154396, 4.6749284, -3.8143680
1891010616274875, 0, 0.4784875, -0.4265715, 1.0231870, -3.1275961, 5.4287608, -3.9752834
1891010626236875, 0, 0.5835393, -0.3518470, 1.0161089, -3.4498759, 5.7860678, -3.6884798
1891010636198875, 0, 0.7048168, -0.3623984, 1.0820546, -4.2165816, 6.0923309, -3.6850369
1891010646160875, 0, 0.7909269, -0.4342169, 1.2187333, -5.0015492, 6.5328648, -3.8910086
1891010656122875, 0, 0.8058419, -0.6353181, 1.3146255, -5.1395622, 7.3889346, -4.5009901
1891010666085875, 0, 0.6834782, -0.9319471, 1.4081917, -4.6809160, 7.8597057, -5.2347643
1891010676047875, 0, 0.3926613, -1.3366195, 1.5025939, -3.6054025, 8.4283731, -6.1372375
1891010686009875, 0, 0.2137211, -1.5547377, 1.5297167, -1.8021025, 10.4545596, -5.9704843
